m,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Inclusion criteria met,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Training time (hours),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training compute cost (2020 USD),Self-supervised training,Architecture,Compute Sponsor Categorization,Abstract
Statement Curriculum Learning,Language,Automated theorem proving,OpenAI,Industry,"Stanislas Polu, Jesse Michael Han, Kunhao Zheng, Mantas Baksys, Igor Babuschkin, Ilya Sutskever ",02/03/2022,2022,Formal Mathematics Statement Curriculum Learning,https://arxiv.org/abs/2202.01344,,,No,,,,,,,,,,,,,,,,,Industry,
BaGuaLu,,,Tsinghua University,Academia,"Zixuan Ma, Jiaao He, Jiezhong Qiu, Huanqi Cao, Yunawei Wang",28/03/2022,2022,BaGuaLu: Targeting Brain Scale Pretrained Models with over 37 Million Cores,https://dl.acm.org/doi/abs/10.1145/3503221.3508417,1.20E+01,,No,1.45E+13,,,,,,,,,,,,,,Yes,,Academia,
DALL·E 2,Drawing,,OpenAI,Industry,"Aditya Ramesh, Prafulla Dhariwal, Alex Nichol, Casey Chu, Mark Chen",06/04/2022,2022,Hierarchical Text-Conditional Image Generation with CLIP Latents,https://cdn.openai.com/papers/dall-e-2.pdf,,SOTA Improvement,Yes,3.50E+09,,"CLIP, DALL-E",6.50E+08,,,,,,,,,,,Yes,,Industry,
Flamingo,Multimodal,,DeepMind,Industry,"Jean-Baptiste Alayrac, Jeff Donahue, Pauline Luc, Antoine Miech, Iain Barr, Yana Hasson, Karel Lenc, Arthur Mensch, Katie Millican, Malcolm Reynolds, Roman Ring, Eliza Rutherford, Serkan Cabi, Tengda Han, Zhitao Gong, Sina Samangooei, Marianne Monteiro, Jacob Menick, Sebastian Borgeaud, Andrew Brock, Aida Nematzadeh, Sahand Sharifzadeh, Mikolaj Binkowski, Ricardo Barreira, Oriol Vinyals, Andrew Zisserman, Karen Simonyan",29/04/2022,2022,Flamingo: a Visual Language Model for Few-Shot Learning,https://arxiv.org/abs/2204.14198,,SOTA Improvement,Yes,8.00E+10,,,,,,,,,,,,,,,,Industry,
Jurassic-X,Language,,AI21labs,Industry,"Ehud Karpas, Omri Abend, Yonatan Belinkov, Barak Lenz, Opher Lieber, Nir Ratner, Yoav Shoham, Hofit Bata, Yoav Levine, Kevin Leyton-Brown, Dor Muhlgay, Noam Rozen, Erez Schwartz, Gal Shachaf, Shai Shalev-Shwartz, Amnon Shashua, Moshe Tenenholtz",03/05/2022,2022,"MRKL Systems A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",https://www.ai21.com/blog/jurassic-x-crossing-the-neuro-symbolic-chasm-with-the-mrkl-system,,,No,7.00E+09,,,,,,,,,,,,,,,,Industry,
UL2,Language,,Google Research,Industry,"Yi Tay, Mostafa Dehghani, Vinh Q. Tran, Xavier Garcia, Dara Bahri, Tal Schuster, Huaixiu Steven Zheng, Neil Houlsby, Donald Metzler",10/05/2022,2022,Unifying Language Learning Paradigms,https://arxiv.org/abs/2205.05131v1,1.90E+01,SOTA Improvement,Yes,2.00E+10,,,,,,,,,,,,,,,,Industry,
Imagen,Vision,,Google Research,Industry,"Chitwan Saharia, William Chan, Saurabh Saxena, Lala Li",23/05/2022,2022,Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding,https://imagen.research.google/,,,No,,,,,,,,,,,,,,,Yes,,Industry,
MetaLM,Multimodal,,Microsoft Research,Industry,"Yaru Hao, Haoyu Song, Li Dong, Shaohan Huang, Zewen Chi, Wenhui Wang, Shuming Ma, Furu Wei",13/06/2022,2022,Language Models are General-Purpose Interfaces,https://arxiv.org/abs/2206.06336v1,,SOTA Improvement,Yes,,,,,,,,,,,,,,,Yes,,Industry,
Make-A-Video,Text-to-Video,,Meta AI,Industry,"Uriel Singer, Adam Polyak, Thomas Hayes, Xi Yin, Jie An, Songyang Zhang, Qiyuan Hu, Harry Yang, Oron Ashual, Oran Gafni, Devi Parikh, Sonal Gupta, Yaniv Taigman",29/09/2022,2022,Make-A-Video: Text-to-Video Generation without Text-Video Data,https://arxiv.org/abs/2209.14792,,SOTA Improvement,Yes,,,,,,,,,,,,,,,Yes,,,
Galactica,Language,Language modelling,Meta AI,Industry,"Ross Taylor, Marcin Kardas, Guillem Cucurull, Thomas Scialom, Anthony Hartshorn, Elvis Saravia, Andrew Poulton, Viktor Kerkez, Robert Stojnic",15/11/2022,2022,Galactica: A Large Language Model for Science,https://galactica.org/static/paper.pdf,,,No,1.20E+11,,Galactica Corpus,,,,,,,,,,,,Yes,,,
CICERO,Games,Diplomacy,Meta AI,Industry,,22/11/2022,2022,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,https://www.science.org/doi/10.1126/science.ade9097,,,No,,,WebDiplomacy,,,,,,,,,,,,,,,
Imagen Video,Vision,Video generation,Google Brain,Industry,"Jonathan Ho, William Chan, Chitwan Saharia, Jay Whang, Ruiqi Gao, Alexey Gritsenko, Diederik P. Kingma, Ben Poole, Mohammad Norouzi, David J. Fleet, Tim Salimans",05/10/2022,2022,Imagen Video: High Definition Video Generation with Diffusion Models,https://arxiv.org/abs/2210.02303,,,No,1.16E+10,,,,,,,,,,,,,,,,,
Megatron-LM (1T),Language,Text autocompletion,"Stanford, Microsoft Research, NVIDIA",Industry - Academia Collaboration (Industry leaning),"Deepak Narayanan, Mohammad Shoeybi, Jared Casper, Patrick LeGresley, Mostofa Patwary, Vijay Korthikanti, Dmitri Vainbrand, Prethvi Kashinkunti, Julie Bernauer, Bryan Catanzaro, Amar Phanishayee, Matei Zaharia",09/04/2021,2021,Efficient Large-Scale Language Model Training on GPU Clusters,https://arxiv.org/abs/2104.04473,1.08E+02,,No,1.00E+12,,,,,,,,,,,,,,Yes,,Industry,
Megatron-Turing NLG 530B,Language,,"Microsoft, NVIDIA",Industry,"Ali Alvi, Paresh Kharya",11/10/2021,2021,"Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, the World’s Largest and Most Powerful Generative Language Model",https://www.microsoft.com/en-us/research/blog/using-deepspeed-and-megatron-to-train-megatron-turing-nlg-530b-the-worlds-largest-and-most-powerful-generative-language-model/,1.14E+02,,No,5.30E+11,1.35E+24,,2.03E+11,,,,,,,,,,3046994.09,Yes,,Industry,"Pretrained general-purpose language models can achieve state-of-the-art accuracies in various natural language processing domains by adapting to downstream tasks via zero-shot, few-shot and fine-tuning techniques. Because of their success, the size of these models has increased rapidly, requiring high-performance hardware, software, and algorithmic techniques to enable training such large models. As the result of a joint effort between Microsoft and NVIDIA, we present details on the training of the largest monolithic transformer based language model, Megatron-Turing NLG 530B (MT-NLG), with 530 billion parameters. In this paper, we first focus on the infrastructure as well as the 3D parallelism methodology used to train this model using DeepSpeed and Megatron. Next, we detail the training process, the design of our training corpus, and our data curation techniques, which we believe is a key ingredient to the success of the model. Finally, we discuss various evaluation results, as well as other interesting observations and new properties exhibited by MT-NLG. We demonstrate that MT-NLG achieves superior zero-, one-, and few-shot learning accuracies on several NLP benchmarks and establishes new state-of-the-art results. We believe that our contributions will help further the development of large-scale training infrastructures, large-scale language models, and natural language generations."
Gopher,Language,Language modelling,DeepMind,Industry,"Jack W. Rae, Sebastian Borgeaud, Trevor Cai, Katie Millican, Jordan Hoffmann, Francis Song, John Aslanides, Sarah Henderson, Roman Ring, Susannah Young, Eliza Rutherford, Tom Hennigan, Jacob Menick, Albin Cassirer, Richard Powell, George van den Driessche, Lisa Anne Hendricks, Maribeth Rauh, Po-Sen Huang, Amelia Glaese, Johannes Welbl, Sumanth Dathathri, Saffron Huang, Jonathan Uesato, John Mellor, Irina Higgins, Antonia Creswell, Nat McAleese, Amy Wu, Erich Elsen, Siddhant Jayakumar, Elena Buchatskaya, David Budden, Esme Sutherland, Karen Simonyan, Michela Paganini, Laurent Sifre, Lena Martens, Xiang Lorraine Li, Adhiguna Kuncoro, Aida Nematzadeh, Elena Gribovskaya, Domenic Donato, Angeliki Lazaridou, Arthur Mensch, Jean-Baptiste Lespiau, Maria Tsimpoukelli, Nikolai Grigorev, Doug Fritz, Thibault Sottiaux, Mantas Pajarskas, Toby Pohlen, Zhitao Gong, Daniel Toyama, Cyprien de Masson d’Autume, Yujia Li, Tayfun Terzi, Vladimir Mikulik, Igor Babuschkin, Aidan Clark, Diego de Las Casas, Aurelia Guy, Chris Jones, James Bradbury, Matthew Johnson, Blake Hechtman, Laura Weidinger, Iason Gabriel, William Isaac, Ed Lockhart, Simon Osindero, Laura Rimell, Chris Dyer, Oriol Vinyals, Kareem Ayoub, Jeff Stanway, Lorrayne Bennett, Demis Hassabis, Koray Kavukcuoglu and Geoffrey Irving",08/12/2021,2021,"Scaling Language Models: Methods, Analysis & Insights from Training Gopher",https://deepmind.com/blog/article/language-modelling-at-scale,1.76E+02,,No,2.80E+11,6.31E+23,,2.25E+11,,,,,,,,,,891638.80,Yes,,Industry,"We enhance auto-regressive language models by conditioning on document chunks retrieved from a large corpus, based on local similarity with preceding tokens. With a 2 trillion token database, our Retrieval-Enhanced Transformer (RETRO) obtains comparable performance to GPT-3 and Jurassic-1 on the Pile, despite using 25× fewer parameters. After fine-tuning, RETRO performance translates to downstream knowledge-intensive tasks such as question answering. RETRO combines a frozen Bert retriever, a differentiable encoder and a chunked cross-attention mechanism to predict tokens based on an order of magnitude more data than what is typically consumed during training. We typically train RETRO from scratch, yet can also rapidly RETROfit pre-trained transformers with retrieval and still achieve good performance. Our work opens up new avenues for improving language models through explicit memory at unprecedented scale."
Yuan 1.0,Language,,Inspur,Industry,"Shaohua Wu, Xudong Zhao, Tong Yu, Rongguo Zhang, Chong Shen, Hongli Liu, Feng Li, Hong Zhu, Jiangang Luo, Liang Xu, Xuanwei Zhang, Jun Liu",12/10/2021,2021,Yuan 1.0: Large-Scale Pre-trained Language Model in Zero-Shot and Few-Shot Learning,https://arxiv.org/abs/2110.04725,1.20E+01,,No,2.45E+11,4.10E+23,,8.35E+11,,,,,,,,,,606364.75,Yes,,Industry,"Recent work like GPT-3 has demonstrated excellent performance of Zero-Shot and Few-Shot learning on many natural language processing (NLP) tasks by scaling up model size, dataset size and the amount of computation. However, training a model like GPT-3 requires huge amount of computational resources which makes it challengeable to researchers. In this work, we propose a method that incorporates large-scale distributed training performance into model architecture design. With this method, Yuan 1.0, the current largest singleton language model with 245B parameters, achieves excellent performance on thousands GPUs during training, and the state-of-the-art results on NLP tasks. A data processing method is designed to efficiently filter massive amount of raw data. The current largest high-quality Chinese corpus with 5TB high quality texts is built based on this method. In addition, a calibration and label expansion method is proposed to improve the Zero-Shot and Few-Shot performance, and steady improvement is observed on the accuracy of various tasks. Yuan 1.0 presents strong capacity of natural language generation, and the generated articles are difficult to distinguish from the human-written ones."
Jurassic-1-Jumbo,Language,,AI21 Labs,Industry,"Opher Lieber, Or Sharir, Barak Lenz, Yoav Shoham",11/08/2021,2021,Jurassic-1: Technical Details and Evaluation,https://uploads-ssl.webflow.com/60fd4503684b466578c0d307/61138924626a6981ee09caf6_jurassic_tech_paper.pdf,5.50E+01,,No,1.78E+11,3.70E+23,,2.25E+11,,,,,,,,,,805277.01,Yes,,Industry,"Jurassic-1 is a pair of auto-regressive language models recently released by AI21 Labs, consisting of J1-Jumbo, a 178B-parameter model, and J1-Large, a 7B-parameter model. We describe their architecture and training, and evaluate their performance relative to GPT-3. The evaluation is in terms of perplexity, as well as zero-shot and few-shot learning. To that end, we developed a zeroshot and few-shot test suite, which we made publicly available (https://github.com/ai21labs/ lm-evaluation) as a shared resource for the evaluation of mega language models."
Source 1.0,Language,Language modelling,Inspur,Industry,,11/10/2021,2021,,https://www.gwern.net/docs/ai/scaling/2021-10-11-xinzhiyuan-inspursource10gpt245b.html,,,No,2.46E+11,3.54E+23,,,,,,,,,,,,,,,,
ALIGN,Multimodal,Representation Learning,Google AI,Industry,"ChaoJia,YinfeiYang,YeXia,Yi-TingChen,ZaranaParekh,HieuPham,QuocV.Le,YunhsuanSung, Zhen Li, and Tom Duerig",11/06/2021,2021,Scaling up visual and vision-language representation learning with noisy text supervision,https://arxiv.org/abs/2102.05918,6.41E+02,,No,8.20E+08,2.15E+23,,1.60E+09,,,,,,,,,,357760.33,Yes,,Industry,"Pre-trained representations are becoming crucial for many NLP and perception tasks. While representation learning in NLP has transitioned to training on raw text without human annotations, visual and vision-language representations still rely heavily on curated training datasets that are expensive or require expert knowledge. For vision applications, representations are mostly learned using datasets with explicit class labels such as ImageNet or OpenImages. For vision-language, popular datasets like Conceptual Captions, MSCOCO, or CLIP all involve a non-trivial data collection (and cleaning) process. This costly curation process limits the size of datasets and hence hinders the scaling of trained models. In this paper, we leverage a noisy dataset of over one billion image alt-text pairs, obtained without expensive filtering or post-processing steps in the Conceptual Captions dataset. A simple dual-encoder architecture learns to align visual and language representations of the image and text pairs using a contrastive loss. We show that the scale of our corpus can make up for its noise and leads to state-of-the-art representations even with such a simple learning scheme. Our visual representation achieves strong performance when transferred to classification tasks such as ImageNet and VTAB. The aligned visual and language representations enables zero-shot image classification and also set new state-of-the-art results on Flickr30K and MSCOCO image-text retrieval benchmarks, even when compared with more sophisticated cross-attention models. The representations also enable cross-modality search with complex text and text + image queries."
